Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longtitude
Clarke Quay,"3 River Valley Road, S(179019)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 7am to 12.29pm","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 1.30pm to 6.59am the following dayto a maximum of \$6.42 from 1.30pm to 6.59am the following day","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 7am to 6.59am the following day",\$2.68/entry from 7am to 6.59am the following day,1.2902865,103.844957
Clifford Centre,"24 Raffles Place, S(048621)",\$5.00/hr from 7am to 5pm \$2.50/30mins,\$3.00/entry from 5pm to 11pm,Charges same as weekdays,Charges same as weekdays,1.2837597,103.8523004
Compass One,"1 Sengkang Square, S(545078)","\$1.40 for 1st 1hr, \$0.70 for next subsequent 30min from 7am to 11pm","\$1.40 for 1st 1hr, \$0.70 for next subsequent 30min from 7am to 11pm",Charges same as weekdays,Charges same as weekdays,1.3922141000000001,103.8951203
Concorde Shopping Centre,"317 Outram Road, S(169075)",\$1.93/hr from 7am to 5pm,\$3.85/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.85/entry from 7am to 7am the following day,1.2889661,103.8341897
Conrad Centennial Singapore (Basement Car Park),"2 Temasek Boulevard, S(038982)","\$3.30 for 1st hr, \$1.10 for next subsequent 30min from 7am to 6pm",\$2.20/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day","\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day",1.2935074,103.85879870000001
Copthorne King's Hotel,"403 Havelock Road, S(169632)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 12midnight","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.2882649,103.8366582
Copthorne Orchid Hotel,"214 Dunearn Road, S(299526)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.324121,103.824148
CPF Building Robinson Road,"79 Robinson Road, S(068897)","\$1.50/30min for the 1st 2hr, \$2.00/30min thereafter from 6am to 6pm","Car Park closed after 5pm, vehicle remaining from 5pm onward will be charged an additional flat rate of \$5.00",Closed,Closed,1.2774780000000001,103.8481197
CPF Tampines Building Car Park,"1 Tampines Central 5, S(529508)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3531218999999999,103.9436755
Grand Park Orchard,"270 Orchard Road, S(238857)","\$3.50 for 1st hr, \$1.50/subsequent 30min from 8am to 5pm daily including Public Holidays",\$5.00/entry from 5pm to 8am the following day daily including Public Holidays,Same Charges as Weekdays,Same Charges as Weekdays,1.3032438999999998,103.8362719
OUE Downtown 1,"6 Shenton Way, S(068809)",*,*,*,*,1.2767434,103.8482644
OUE Downtown 2,"6 Shenton Way, S(068809)",\$2.57/30min from 8am to 6pm,\$2.57/entry from 6pm to 11pm,"\$2.57/30min or part thereof from 6am to 1pm, \$2.57/entry from 1pm to 11pm",\$2.57/entry from 6am to 11pm,1.2767434,103.8482644
Delfi Orchard,"402 Orchard Road, S(238876)","\$3.64 for 1st hr, \$2.35 for next subsequent 30min from 8am to 6pm",\$5.35/entry from 6pm to 11pm,Charges same as weekdays,\$5.35/entry from 8am to 11pm,1.3071536,103.8286012
