,Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude
63,Millenia Walk (Surface Car Park),"9 Raffles Boulevard, S(039596)","\$4.40 for 1st hr, \$1.65 for subsequent 30min from 7am to 6pm","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 6pm to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day",1.2927292,103.859401
64,Miramar Hotel,"401 Havelock Road, S(169631)","\$2.68 for 1st hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$3.75/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day,1.28832,103.8374488
65,Mount Alvernia Hospital,"820 Thomson Road, S(574623)","\$2.40 for 1st hr, \$1.30 for next subsequent 30min from 7am to 10pm",\$5.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.3419083,103.83795479999999
66,Mount Elizabeth Hospital,"3 Mount Elizabeth, S(228510)","\$2.50/30min from 6.30am to 8am, \$3.30/30min from 8am to 11am, \$3.00/30min from 11am to 6.30pm",\$4.00/entry from 6.30pm to 6.30am,Charges same as weekdays,\$4.00/entry from 6.30am to 6.30am the following day,1.3050493,103.83542840000001
67,Mustafa Centre,"145 Syed Alwi Road, S(207704)","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3100896,103.855366
68,Nanyang Academy Of Fine Arts (NAFA),"80 Bencoolen Street, S(189655)",\$2.40/hr from 8am to 9.59pm,\$2.40/hr from 10pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.299809,103.8512578
69,International Plaza,"10 Anson Road, S(079903)",\$2.20/30min from 7am to 5pm,\$3.00/entry from 5pm to 7am the following day,"\$2.20/30min from 7am to 3pm, \$3.00/entry after 3pm to 7am the following day",\$3.00/entry from 7am to 7am the following day,1.2756998,103.8458098
70,Jelita Cold Storage,"293 Holland Road, S(278628)","1st hr free, \$1.60/hr for next subsequent hr onwards","1st hr free, \$1.60/hr for next subsequent hr onwards",Charges same as weekdays,Charges same as weekdays,1.3175633999999998,103.78588
71,Joo Chiat Complex,"1 Joo Chiat Road, S(420001)",\$0.50/30min from 7am to 7pm,\$0.50/30min from 7pm to 10:30pm,Charges same as weekdays,Charges same as weekdays,1.3156809999999999,103.8988707
72,Junction 8 (Basement Car Park),"9 Bishan Place, S(579837)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day from Mon to Fri & Eve of PH","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri & Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",1.3505253000000002,103.8486915
73,Junction 8 (Multi-Storey Car Park),"514 Bishan Street 13, S(570514)",\$0.60/30min from 7am to 9pm,\$0.60/30min from 9pm to 7am the following day,"\$0.60/30min from 7am to 3pm, \$0.60/30min from 3pm to 7am the following day",\$0.60/30min from 7am to 7am the following day,1.3501553,103.8497956
74,JCube,"2 Jurong East Central 1, S(609731)","\$1.30 for 1st hr, \$0.40 for next subsequent 15min from 3.30am to 5.59pm",\$2.50/entry from 6pm to 3.29am the following day,Charges same as weekdays,Charges same as weekdays,1.3332858,103.7401865
75,Jurong Point Shopping Centre,"1 Jurong West Central 2, S(648886)","\$1.07 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 5pm","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 5pm to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day",1.3393411,103.7053874
76,KK Women's and Children's Hospital ,"100 Bukit Timah Road, S(229899)",\$0.047/min from 6am to 6pm,\$2.40/entry from 6pm to 6am the following day,\$2.40/entry from 6am to 12midnight,\$2.40/entry from 6am to 12midnight,1.310615,103.84683559999999
